season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2025,Kentucky,SEC,236,240,11,14,21,30,8,2,2,8,12,0,2,191,219,14,12,0,0,277,229,15,9,2423,2879,367,358,229,221,12,14,15,16,59,78,492,692,22059,21141,0,0,53,176,13,15,431,437,19,20,1671,1616,25,29,69,72,64,63,159,158,4094,4495,22,14
2025,LSU,SEC,244,243,8,14,13,27,7,4,4,7,13,1,0,230,16,7,17,1,0,562,288,23,13,2984,2660,443,414,291,247,17,7,20,14,91,91,771,768,23605,23195,0,2,192,371,19,24,372,429,10,15,1362,1618,27,29,68,80,64,61,174,177,4344,4278,14,21
2025,Liberty,Conference USA,244,242,13,14,25,23,8,7,7,8,12,0,0,136,44,13,7,1,0,577,416,27,23,2346,2361,316,350,174,203,7,13,11,17,74,63,667,551,22076,21124,0,0,36,80,12,11,500,449,25,23,2316,2161,16,25,49,60,67,75,167,171,4662,4522,21,14
2025,Louisiana,Sun Belt,246,278,11,12,20,23,5,9,9,5,13,1,2,91,180,14,9,1,1,684,799,32,41,2095,2912,342,379,187,252,9,14,12,18,77,85,605,846,23479,23321,0,0,29,139,12,21,515,513,26,25,2378,2433,22,24,59,78,78,74,192,173,4473,5345,19,18
2025,Louisiana Tech,Conference USA,249,266,8,8,16,22,7,3,3,5,13,5,0,312,115,10,22,2,0,657,141,29,7,2134,3121,313,484,196,266,22,10,8,19,100,104,1006,874,23433,23367,0,0,276,162,26,23,534,415,29,13,2537,1753,20,22,77,66,73,72,178,185,4671,4874,17,25
2025,Louisville,ACC,255,220,9,10,14,26,8,6,6,8,13,0,3,37,249,9,14,0,0,380,346,17,20,2868,2454,418,409,268,242,14,9,18,15,90,96,821,762,23559,23241,2,0,501,65,30,12,420,427,25,13,2132,1486,31,24,77,69,59,60,167,181,5000,3940,17,20
2025,Marshall,Sun Belt,255,239,7,11,16,21,9,8,8,8,12,3,0,219,38,6,13,0,0,560,207,26,9,2495,3140,335,368,218,215,13,6,18,24,82,64,719,550,21662,21538,0,0,217,69,22,14,497,459,23,21,2378,1787,28,17,73,58,58,73,165,183,4873,4927,15,21
2025,Maryland,Big Ten,219,271,9,16,25,31,5,2,2,5,12,4,0,335,64,9,19,0,1,252,947,17,40,3068,2718,491,383,284,242,19,9,18,25,72,60,669,506,19425,23775,0,0,128,95,18,11,304,477,9,13,1266,2111,27,9,65,44,63,72,172,171,4334,4829,14,21
2025,Massachusetts,Mid-American,186,277,6,13,26,19,7,5,5,7,12,1,0,86,74,9,4,0,1,160,562,9,23,1981,2550,415,296,223,200,4,9,8,29,62,56,497,511,19392,23808,0,1,43,352,10,19,352,522,6,30,989,2665,13,33,40,90,54,70,176,150,2970,5215,16,9
2025,Memphis,American Athletic,295,248,14,11,25,22,3,7,7,3,13,2,0,113,132,9,12,1,0,288,314,14,19,2969,2953,412,392,278,238,12,9,17,16,72,84,625,674,24676,22123,0,0,125,22,15,6,471,460,34,22,2381,1717,21,33,78,80,70,73,168,183,5350,4670,12,19
